date,TCI,TCI_lead1,HSS_t1_q75,split_flag
2022-07-18,18.364865426209494,18.35183073222844,0,train
2022-07-19,18.35183073222844,18.344524492008794,0,train
2022-07-20,18.344524492008794,18.344324767354586,0,train
2022-07-21,18.344324767354586,18.313802045439807,0,train
2022-07-22,18.313802045439807,18.312107896733533,0,train
2022-07-25,18.312107896733533,18.27798810538409,0,train
2022-07-26,18.27798810538409,18.268984515134747,0,train
2022-07-27,18.268984515134747,18.30820762505736,0,train
2022-07-28,18.30820762505736,18.28996924846677,0,train
2022-07-29,18.28996924846677,18.30412825977611,0,train
2022-08-01,18.30412825977611,18.2853862393765,0,train
2022-08-02,18.2853862393765,18.33780826222345,0,train
2022-08-03,18.33780826222345,18.36791273059045,0,train
2022-08-04,18.36791273059045,18.403252258695776,0,train
2022-08-05,18.403252258695776,18.379836316362766,0,train
2022-08-08,18.379836316362766,18.380158486768217,0,train
2022-08-09,18.380158486768217,18.439717686546743,0,train
2022-08-10,18.439717686546743,18.39324629496137,0,train
2022-08-11,18.39324629496137,18.337170647222266,0,train
2022-08-12,18.337170647222266,18.300330892633266,0,train
2022-08-15,18.300330892633266,18.30581137923115,0,train
2022-08-16,18.30581137923115,18.28488965076458,0,train
2022-08-17,18.28488965076458,18.240454245979663,0,train
2022-08-18,18.240454245979663,18.24928063053468,0,train
2022-08-19,18.24928063053468,18.22972401283112,0,train
2022-08-22,18.22972401283112,18.21054978069148,0,train
2022-08-23,18.21054978069148,18.21752063599672,0,train
2022-08-24,18.21752063599672,18.210152048932585,0,train
2022-08-25,18.210152048932585,18.189715527388135,0,train
2022-08-26,18.189715527388135,18.161954249035915,0,train
2022-08-29,18.161954249035915,18.190904012204413,0,train
2022-08-30,18.190904012204413,18.02144031468549,0,train
2022-08-31,18.02144031468549,17.98114257372253,0,train
2022-09-01,17.98114257372253,17.95435143941909,0,train
2022-09-02,17.95435143941909,17.91859282609941,0,train
2022-09-06,17.91859282609941,17.891783998809988,0,train
2022-09-07,17.891783998809988,17.860170654985183,0,train
2022-09-08,17.860170654985183,17.788876641929185,0,train
2022-09-09,17.788876641929185,17.798303518994764,0,train
2022-09-12,17.798303518994764,17.750409365891784,0,train
2022-09-13,17.750409365891784,17.749428326935327,0,train
2022-09-14,17.749428326935327,17.80676729612285,0,train
2022-09-15,17.80676729612285,17.81691500667678,0,train
2022-09-16,17.81691500667678,17.81671396369283,0,train
2022-09-19,17.81671396369283,17.833849655691804,0,train
2022-09-20,17.833849655691804,17.839210281120664,0,train
2022-09-21,17.839210281120664,17.858755052154464,0,train
2022-09-22,17.858755052154464,17.984668215328966,0,train
2022-09-23,17.984668215328966,17.986913130666473,0,train
2022-09-26,17.986913130666473,17.889532927726894,0,train
2022-09-27,17.889532927726894,17.907259582231397,0,train
2022-09-28,17.907259582231397,17.95909988220291,0,train
2022-09-29,17.95909988220291,17.95544232885121,0,train
2022-09-30,17.95544232885121,17.851730955758207,0,train
2022-10-03,17.851730955758207,17.866223915064726,0,train
2022-10-04,17.866223915064726,17.8202563767209,0,train
2022-10-05,17.8202563767209,17.81914856546004,0,train
2022-10-06,17.81914856546004,17.767473077667304,0,train
2022-10-07,17.767473077667304,17.751343259498157,0,train
2022-10-12,17.751343259498157,17.6927404895153,0,train
2022-10-13,17.6927404895153,17.723611957334814,0,train
2022-10-14,17.723611957334814,17.667857489904204,0,train
2022-10-17,17.667857489904204,17.6457495253571,0,train
2022-10-18,17.6457495253571,17.6510078968534,0,train
2022-10-19,17.6510078968534,17.642428901996507,0,train
2022-10-20,17.642428901996507,17.623861689689193,0,train
2022-10-21,17.623861689689193,17.575189964324714,0,train
2022-10-24,17.575189964324714,17.603960140320144,0,train
2022-10-25,17.603960140320144,17.68307781783389,0,train
2022-10-26,17.68307781783389,17.6457775117957,0,train
2022-10-27,17.6457775117957,17.630035498296248,0,train
2022-10-28,17.630035498296248,17.607098236729982,0,train
2022-10-31,17.607098236729982,17.607326937461252,0,train
2022-11-01,17.607326937461252,17.587142626952655,0,train
2022-11-02,17.587142626952655,17.6019944923962,0,train
2022-11-03,17.6019944923962,17.587157315076837,0,train
