"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2021","170.10","170.10","170.10","170.10","","-0.58%"
"12/31/2021","169.60","169.60","169.60","169.60","","-0.29%"
"01/03/2022","157.50","157.50","157.50","157.50","0.00K","-7.13%"
"01/04/2022","174.10","172.00","174.00","171.00","0.27K","10.54%"
"01/05/2022","179.90","180.00","180.00","180.00","0.02K","3.33%"
"01/06/2022","196.50","190.00","193.00","189.25","0.48K","9.23%"
"01/07/2022","195.90","195.00","195.00","195.00","0.73K","-0.31%"
"01/10/2022","196.50","203.00","205.00","203.00","0.08K","0.31%"
"01/11/2022","197.10","197.00","198.00","197.00","0.09K","0.31%"
"01/12/2022","203.00","205.00","205.00","205.00","0.04K","2.99%"
"01/13/2022","211.50","209.50","209.50","209.50","0.01K","4.19%"
"01/14/2022","216.75","220.00","220.00","220.00","0.01K","2.48%"
"01/17/2022","220.50","220.50","220.50","220.50","0.01K","1.73%"
"01/18/2022","221.00","221.00","221.00","221.00","0.01K","0.23%"
"01/19/2022","223.10","223.10","223.10","223.10","0.02K","0.95%"
"01/20/2022","225.65","226.00","226.00","226.00","0.00K","1.14%"
"01/21/2022","224.60","225.00","226.00","225.00","0.00K","-0.47%"
"01/24/2022","225.25","225.25","225.25","225.25","0.00K","0.29%"
"01/25/2022","227.30","227.30","227.30","227.30","","0.91%"
"01/26/2022","227.80","227.80","227.80","227.80","","0.22%"
"01/27/2022","227.60","227.60","227.60","227.60","0.00K","-0.09%"
"01/28/2022","227.65","227.65","227.65","227.65","","0.02%"
"01/31/2022","222.75","222.75","222.75","222.75","0.07K","-2.15%"
"02/01/2022","218.10","210.00","210.50","210.00","0.08K","-2.09%"
"02/02/2022","220.10","220.00","220.00","220.00","0.06K","0.92%"
"02/03/2022","221.00","221.00","221.00","221.00","0.04K","0.41%"
"02/04/2022","227.30","223.00","227.00","223.00","0.04K","2.85%"
"02/07/2022","236.00","231.00","236.00","231.00","0.07K","3.83%"
"02/08/2022","239.25","239.00","241.00","239.00","0.00K","1.38%"
"02/09/2022","239.25","242.00","242.00","235.00","0.02K","0.00%"
"02/10/2022","239.10","239.10","239.10","239.10","","-0.06%"
"02/11/2022","245.00","245.00","245.00","245.00","","2.47%"
"02/14/2022","240.00","243.50","243.50","240.00","0.01K","-2.04%"
"02/15/2022","239.00","239.00","239.00","239.00","0.01K","-0.42%"
"02/16/2022","235.50","236.00","236.00","236.00","0.00K","-1.46%"
"02/17/2022","232.40","234.50","234.50","234.50","0.00K","-1.32%"
"02/18/2022","232.35","232.50","232.50","232.50","0.00K","-0.02%"
"02/21/2022","233.85","233.85","233.85","233.85","","0.65%"
"02/22/2022","236.25","236.50","236.50","235.00","0.01K","1.03%"
